name,minimum,Q1,median,Q3,maximum
raw_visit_count,60.0,nan,nan,nan,7179900.0
raw_visitor_count,50.0,nan,nan,nan,6113949.0
distance_from_home,706.0,nan,nan,nan,6297845.0
distance_from_home,706.0,nan,nan,nan,6297845.0
