name,minimum,Q1,median,Q3,maximum
raw_visit_count,2334,25496.25,40626.5,69938.75,7179900
raw_visitor_count,334,5109.25,8828,16531,6113949
distance_from_home,1178,9003,14403.5,28087,4218226
